일자,종합지수,전일비,,등락률,거래대금,개인,외국인,기관계,금융투자,보험,투신,기타금융,은행,연기금등,사모펀드,국가,기타법인
2026/07/31,"6,595.45",▲,"1,001.89","+17.91%","495,676","-96,284","+85,703","+8,222","-12,159","-1,058","+12,521","+463","-35","+1,644","+6,848","0","+2,810"
2026/07/30,"5,593.56",▼,"-69.68","-1.23%","383,209","-16,099","+15,465","+350","-2,917","+1,053","-2,134","+199","-164","+3,807","+506","0","+280"
2026/07/29,"5,663.24",▼,"-360.42","-5.98%","492,173","-37,693","-4,744","+41,351","+26,977","+1,260","+3,400","+64","-126","+3,380","+6,396","0","+1,134"
2026/07/28,"6,023.66",▼,"-732.09","-10.84%","360,739","+49,889","-51,382","+1,424","+7,426","+214","-11,531","-27","-195","+1,165","+4,371","0","-242"
2026/07/27,"6,755.75",▲,"65.13","+0.97%","242,946","+21,084","-29,929","+8,639","+5,085","+614","+4,256","-7","-100","-723","-487","0","+10"
2026/07/24,"6,690.62",▼,"-406.27","-5.72%","309,919","+61,062","-41,512","-20,051","-9,250","-1,751","-6,802","+40","+12","+323","-2,624","0","+223"
2026/07/23,"7,096.89",▲,"299.19","+4.40%","268,560","-24,296","+24,954","-346","-11,688","+266","+7,246","-54","+43","+730","+3,111","0","-140"
2026/07/22,"6,797.70",▲,"49.75","+0.74%","285,740","-19,531","+35,622","-15,690","-11,703","+162","-705","+23","-3","-707","-2,757","0","-266"
2026/07/21,"6,747.95",▲,"231.68","+3.56%","248,107","-22,887","+7,985","+15,661","+10,652","+1,157","+4,509","-78","+4","+600","-1,182","0","-571"
2026/07/20,"6,516.27",▼,"-304.33","-4.46%","296,905","+8,762","+2,651","-12,572","-8,576","+583","-2,863","-41","-7","+752","-2,420","0","+1,180"
2026/07/16,"6,820.60",▼,"-463.81","-6.37%","298,206","+50,624","-20,698","-31,684","-18,531","-545","-6,102","+30","+6","+591","-7,132","0","+1,459"
2026/07/15,"7,284.41",▲,"427.58","+6.24%","344,882","-26,353","+25,424","+815","-9,445","-421","+8,623","+69","+43","+205","+1,741","0","+170"
2026/07/14,"6,856.83",▲,"49.90","+0.73%","466,979","-57,517","+19,375","+38,921","+25,077","+1,477","-68","-111","-344","+868","+12,022","0","-415"
2026/07/13,"6,806.93",▼,"-669.01","-8.95%","401,438","+40,569","-16,640","-24,403","-2,767","+92","-16,414","+510","-562","-668","-4,595","0","+215"
2026/07/10,"7,475.94",▲,"184.03","+2.52%","315,769","-8,943","-3,598","+13,055","+14,263","+548","-4,309","+458","+69","+355","+1,671","0","-630"
2026/07/09,"7,291.91",▲,"45.12","+0.62%","395,566","-22,476","+4,339","+18,509","+7,553","+1,097","+9,145","+448","+1","+736","-471","0","-292"
2026/07/08,"7,246.79",▼,"-409.52","-5.35%","424,654","-6,914","+8,110","-1,985","+3,669","+477","-5,378","+398","-57","-936","-157","0","+681"
2026/07/07,"7,656.31",▼,"-395.02","-4.91%","407,174","+35,222","-33,236","-3,211","+4,659","+475","-8,696","+474","-53","+285","-354","0","+987"
2026/07/06,"8,051.33",▼,"-37.01","-0.46%","320,028","+35,931","-19,096","-18,121","-16,734","-115","-25","+540","+126","-338","-1,574","0","+1,024"
2026/07/03,"8,088.34",▲,"440.25","+5.76%","454,920","-25,646","-22,843","+47,452","+33,327","+1,041","+10,138","+391","+146","+558","+1,852","0","+1,240"
2026/07/02,"7,648.09",▼,"-655.32","-7.89%","499,009","+74,650","-49,149","-29,742","-11,517","+545","-14,744","+460","+9","-534","-3,961","0","+3,684"
